part_number, part_name, qty, threshold_qty, dependencies, verified_date, alt_part_nums, search_parms
15-697867, SRX Magnetic Encoder, 0, 0, None, None, None, 15-697867 SRX Magnetic Encoder 
AM-0546, SB50 APP Connector with Contacts, 0, 0, None, None, None, AM-0546 SB50 APP Connector with Contacts 
AM-3071, , 0, 0, None, None, None, AM-3071  
94669A311, "Aluminum Unthreaded Spacer, 4.500 mm OD, 18 mm Long, for M3 Screw Size", 0, 0, None, None, None, 94669A311 "Aluminum Unthreaded Spacer, 4.500 mm OD, 18 mm Long, for M3 Screw Size" 
Hex Shaft 1, , 0, 0, None, None, None, Hex Shaft 1  
Hex Shaft 2, , 0, 0, None, None, None, Hex Shaft 2  
Hex Shaft 3, , 0, 0, None, None, None, Hex Shaft 3  
Hex Shaft 4, , 0, 0, None, None, None, Hex Shaft 4  
Hex Shaft 5, , 0, 0, None, None, None, Hex Shaft 5  
Dog Gear drive, "modified 40T aluminum Spur Gear (20DP, 1/2"" Hex Bore)", 0, 0, None, None, None, Dog Gear drive "modified 40T aluminum Spur Gear (20DP, 1/2"" Hex Bore)" 
Dog Gear winch, "modified 40T aluminum Spur Gear (20DP, 1/2"" Hex Bore)", 0, 0, None, None, None, Dog Gear winch "modified 40T aluminum Spur Gear (20DP, 1/2"" Hex Bore)" 
hex with modified shaft for dog gear shiftage, modified 217-3423-003 rev 1 from PTO add on kit, 0, 0, None, None, None, hex with modified shaft for dog gear shiftage modified 217-3423-003 rev 1 from PTO add on kit 
92510A609, , 0, 0, None, None, None, 92510A609  
94669A128, "Aluminum Unthreaded Spacer, 8 mm OD, 30 mm Long, for M3 Screw Size", 0, 0, None, None, None, 94669A128 "Aluminum Unthreaded Spacer, 8 mm OD, 30 mm Long, for M3 Screw Size" 
94669A319, , 0, 0, None, None, None, 94669A319  
217-6515, Falcon 500, 0, 0, None, None, None, 217-6515 Falcon 500 
217-3875, "0.500"" Hex ID x 1.125"" OD x 0.313"" WD (Flanged Bearing v2)", 0, 0, None, None, None, 217-3875 "0.500"" Hex ID x 1.125"" OD x 0.313"" WD (Flanged Bearing v2)" 
217-3351, Bag Motor, 0, 0, None, None, None, 217-3351 Bag Motor 
217-4006, "Bearing, Flanged, 13.75mm (1/2"" ThunderHex ID) x 1.125"" OD x 0.313"" WD", 0, 0, None, None, None, 217-4006 "Bearing, Flanged, 13.75mm (1/2"" ThunderHex ID) x 1.125"" OD x 0.313"" WD" 
217-5046, Versa Planetary Integrated Encoder, 0, 0, None, None, None, 217-5046 Versa Planetary Integrated Encoder 
217-6919, "12T Steel Spur Gear (20 DP, Falcon Motor)", 0, 0, None, None, None, 217-6919 "12T Steel Spur Gear (20 DP, Falcon Motor)" 
