Responsible Party,part_number,part_name,qty,Something,unit,QTY Per Unit,QTY per ASSY,Price Per Unit,Price Per Piece,Total PO Price,Website Link,Ordered?,PO#,Arrived?,QTY Multiplier,Comments,Multiplier,2,2,1,2,2,2,2,2,2
,15-697867,SRX Magnetic Encoder,5,,ea,1,,$39.99 ,$39.99 ,,http://www.ctr-electronics.com/srx-magnetic-encoder.html,,,,,,,,,,,,,,,
,AM-0546,SB50 APP Connector with Contacts,3,,ea,1,,$3.50 ,$3.50 ,,https://www.andymark.com/products/sb-50a-app-connector-with-contacts?via=Z2lkOi8vYW5keW1hcmsvV29ya2FyZWE6Ok5hdmlnYXRpb246OlNlYXJjaFJlc3VsdHMvJTdCJTIyYnV0dG9uJTIyJTNBJTIyc2VhcmNoJTIyJTJDJTIycSUyMiUzQSUyMlNCNTAlMjIlMkMlMjJ1dGY4JTIyJTNBJTIyJUUyJTlDJTkzJTIyJTdE,,,,,,,,,,,,,,,
,AM-3071,,3,,,,,,,,,,,,,,,,,,,,,,,
,94669A311,Aluminum Unthreaded Spacer  4.500 mm OD  18 mm Long  for M3 Screw Size,15,,pc,1,,$1.60 ,$1.60 ,,https://www.mcmaster.com/94669a311,,,,,,,,,,,,,,,
,92510A609,,0,,,,,,,,,,,,,,,,,,,,,,,
,94669A128,Aluminum Unthreaded Spacer  8 mm OD  30 mm Long  for M3 Screw Size,0,,,,,$1.88 ,$1.88 ,,https://www.mcmaster.com/94669a128,,,,,,,,,,,,,,,
,94669A319,,0,,,,,,,,,,,,,,,,,,,,,,,
,217-6515,Falcon 500,11,,,,,$139.99 ,$139.99 ,,https://www.vexrobotics.com/217-6515.html,,,,,,,,,,,,,,,
,217-3875,"0.500"" Hex ID x 1.125"" OD x 0.313"" WD (Flanged Bearing v2)",47,,,,,$4.99 ,$4.99 ,,https://www.vexrobotics.com/bearings.html,,,,,,,,,,,,,,,
,217-3351,Bag Motor,4,,,,,$29.99 ,$29.99 ,,https://www.vexrobotics.com/217-3351.html,,,,,,,,,,,,,,,
,217-4006,"Bearing  Flanged  13.75mm (1/2"" ThunderHex ID) x 1.125"" OD x 0.313"" WD",42,,,,,$4.99 ,,,,,,,,,,,,,,,,,,
,217-5046,Versa Planetary Integrated Encoder,12,,,,,$49.99 ,$49.99 ,,https://www.vexrobotics.com/versaplanetary.html,,,,,,,,,,,,,,,
,217-6919,12T Steel Spur Gear (20 DP  Falcon Motor),13,,,,,$9.99 ,$9.99 ,,https://www.vexrobotics.com/20dp-motorpinions.html,,,,,,,,,,,,,,,
,217-4858,,0,,,,,,,,,,,,,,,,,,,,,,,
,REV-21-1651,Neo 550 Brushless motor,3,,,,,$25.00 ,$25.00 ,,http://www.revrobotics.com/rev-21-1651/,,,,,,,,,,,,,,,
